,frame,average_for_this_video_SEPARATION_pinna_ear_left_to_mouth_corner_left,SEPARATION_pinna_ear_left_to_mouth_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_mouth_corner_right,SEPARATION_pinna_ear_right_to_mouth_corner_right,happy,average_for_this_video_SEPARATION_pinna_ear_left_inner_brow_left,SEPARATION_pinna_ear_left_inner_brow_left,average_for_this_video_SEPARATION_pinna_ear_right_inner_brow_right,SEPARATION_pinna_ear_right_inner_brow_right,scared_sad,average_for_this_video_SEPARATION_upper_lip_to_lower_lip,SEPARATION_upper_lip_to_lower_lip,average_for_this_video_SEPARATION_pinna_ear_left_to_nose_corner_left,SEPARATION_pinna_ear_left_to_nose_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_nose_corner_right,SEPARATION_pinna_ear_right_to_nose_corner_right,angry_disgusted,average_for_this_video_SEPARATION_pinna_ear_left_to_pinna_ear_right,SEPARATION_pinna_ear_left_to_pinna_ear_right,ears_apart,ears_tilted,brows_tilted,nose_tilted,mouth_tilted,suprised
15,13,327.7203284802666,255.72682952960332,502.42287643562145,264.208368764233,62.496328527906606,178.45414740797662,138.39926002501707,163.79409037648512,89.55761700626186,51.98751782116548,49.384335236925835,32.781312859075754,264.33920519672085,234.4029569206431,246.37970266439223,177.49231786740393,40.0,165.44702592936505,117.41767058405148,False,False,False,False,True,28.0
16,14,327.7203284802666,247.06875086423832,502.42287643562145,211.97334060733118,62.844968452012374,178.45414740797662,123.08753673436709,163.79409037648512,23.438708611355512,53.000076029258324,49.384335236925835,30.441452970302958,264.33920519672085,220.77816254057097,246.37970266439223,141.99257705258677,40.0,165.44702592936505,182.29102836703794,True,True,False,False,True,29.82638218854423
17,15,327.7203284802666,246.25539412774296,502.42287643562145,215.51423943068215,62.87772036405229,178.45414740797662,120.38976810279819,163.79409037648512,30.746183434608174,53.17847840236668,49.384335236925835,27.117934405183895,264.33920519672085,222.15682745035105,246.37970266439223,147.0421537556798,40.0,165.44702592936505,192.94505107904217,True,True,False,False,True,29.928637757209394
18,16,327.7203284802666,241.155801402961,502.42287643562145,215.02157798792734,63.08306865080909,178.45414740797662,124.24037735066501,163.79409037648512,40.344061022834715,52.92383913505007,49.384335236925835,27.20682187589229,264.33920519672085,222.29955339397534,246.37970266439223,151.59202409871529,40.0,165.44702592936505,205.32689366104876,True,True,False,False,True,30.047476658586902
19,17,327.7203284802666,228.12823120792768,502.42287643562145,212.99613735878893,63.60765744927405,178.45414740797662,71.60214678751393,163.79409037648512,38.33046196946561,56.4047845129455,49.384335236925835,25.371221136632386,264.33920519672085,183.30059918080295,246.37970266439223,153.79511924395442,40.0,165.44702592936505,124.14718410236732,False,True,False,False,True,28.0
20,18,327.7203284802666,229.47008096015992,502.42287643562145,212.13288377465497,63.553624399464624,178.45414740797662,70.36929232068353,163.79409037648512,40.626495662749484,56.486312691457925,49.384335236925835,26.10314495973667,264.33920519672085,182.75120003814428,246.37970266439223,158.85153406041712,40.0,165.44702592936505,122.50364312442356,False,True,False,False,True,28.0
21,19,327.7203284802666,232.83929370743937,502.42287643562145,238.30684526881709,63.41795433663572,178.45414740797662,111.26098824070857,163.79409037648512,56.49773598794268,53.78216100580531,49.384335236925835,24.15940444061211,264.33920519672085,207.25719968534656,246.37970266439223,173.1468035851472,40.0,165.44702592936505,155.5953802878574,False,False,False,False,True,28.0
22,20,327.7203284802666,228.8008456810503,502.42287643562145,233.02409251490792,63.58057288837719,178.45414740797662,106.62540352235989,163.79409037648512,53.56523090715976,54.08871039066389,49.384335236925835,26.88828555331171,264.33920519672085,201.66755280968138,246.37970266439223,171.8248058650522,40.0,165.44702592936505,159.0562168004095,False,False,False,False,True,28.0
23,21,327.7203284802666,225.96279227416863,502.42287643562145,230.48602058764027,63.69485444697996,178.45414740797662,102.10841270144884,163.79409037648512,52.13851784981026,54.38741720796815,49.384335236925835,23.64094334328501,264.33920519672085,198.336115220494,246.37970266439223,172.58470667036195,40.0,165.44702592936505,160.9992636961236,False,False,False,False,True,28.0
24,22,327.7203284802666,229.81083135968734,502.42287643562145,234.0269980503226,63.53990320357096,178.45414740797662,99.05751587559044,163.79409037648512,54.878534945704736,54.58917180896422,49.384335236925835,25.727535818128278,264.33920519672085,194.97454798808963,246.37970266439223,173.84036067335128,40.0,165.44702592936505,157.30257724748148,False,False,False,False,True,28.0
